title,classification,category,budget,date,author,extracted
입찰공고2026학년도 대학 이미지 홍보 사업 위탁용역2,입찰공고2026학년도,용역,380000000.0,2026.03.30,홍**,True
입찰공고(재공고)2026학년도 도서납품업체 선정2,입찰공고(재공고)2026학년도,납품/구입,65000000.0,2026.03.23,홍**,True
유찰공고(유찰공고) 2026학년도 도서납품업체 선정0,유찰공고(유찰공고),납품/구입,,2026.03.23,홍**,False
입찰공고2026학년도 조경 유지관리 위탁용역3,입찰공고2026학년도,용역,55000000.0,2026.03.20,홍**,True
입찰공고2026년 혁신사업 학생 수요 맞춤형 취업역량강화 프로그램 위탁용역2,입찰공고2026년,용역,250000000.0,2026.03.18,홍**,True
입찰공고2026학년도 도서납품업체 선정2,입찰공고2026학년도,납품/구입,65000000.0,2026.03.11,홍**,True
입찰공고(재공고)2026학년도 동양 캠퍼스커넥트 프로그램 용역2,입찰공고(재공고)2026학년도,용역,150000000.0,2026.01.22,홍**,True
유찰공고(유찰공고) 2026학년도 동양 캠퍼스커넥트 프로그램 용역0,유찰공고(유찰공고),용역,,2026.01.22,홍**,False
입찰공고혁신사업 2차 학부(과) 실험실습재료(Honeycomb Board 외 199종) 구입2,입찰공고혁신사업,납품/구입,144667710.0,2026.01.19,홍**,True
입찰공고대학 정보시스템 이중화 구축2,입찰공고대학,구축/설계,625000000.0,2026.01.16,홍**,True
입찰공고혁신사업 2차 실험실습기자재 구입2,입찰공고혁신사업,납품/구입,52680000.0,2026.01.14,홍**,True
입찰공고2026학년도 동양 캠퍼스커넥트 프로그램 용역2,입찰공고2026학년도,용역,150000000.0,2026.01.13,홍**,True
입찰공고2025학년도 실험실습재료(특수합판 외 129종) 구입2,입찰공고2025학년도,납품/구입,51430600.0,2025.12.30,홍**,True
입찰공고2호관 서측 외벽 치장벽돌 보강공사5,입찰공고2호관,기타,145420000.0,2025.12.08,홍**,True
입찰공고혁신지원사업 신축교사 실험실습기자재 구입2,입찰공고혁신지원사업,납품/구입,116640000.0,2025.11.25,홍**,True
"입찰공고2, 6, 7, 8호관 장애학생 편의시설 개선 공사(시설물)4","입찰공고2,",기타,346000000.0,2025.11.10,홍**,True
입찰공고(재공고)혁신지원사업 시각디자인과 취업률 향상을 위한 포트폴리오 작품제작2,입찰공고(재공고)혁신지원사업,기타,22781000.0,2025.11.04,홍**,True
유찰공고(유찰공고) 혁신지원사업 시각디자인과 취업률 향상을 위한 포트폴리오 작품제작0,유찰공고(유찰공고),기타,,2025.11.04,홍**,False
유찰공고(유찰공고) 대학 네트워크 및 정보보호시스템 고도화 사업0,유찰공고(유찰공고),기타,,2025.11.03,홍**,False
입찰공고혁신지원사업 신축교사 학생용 집기비품 구입2,입찰공고혁신지원사업,납품/구입,183360000.0,2025.11.03,홍**,True
입찰공고혁신지원사업 시각디자인과 취업률 향상을 위한 포트폴리오 작품제작2,입찰공고혁신지원사업,기타,22781000.0,2025.10.20,홍**,True
입찰공고대학 네트워크 및 정보보호시스템 고도화 사업2,입찰공고대학,기타,90000000.0,2025.10.14,홍**,True
입찰공고2025학년도 동양미래 교육포럼 행사 위탁 용역2,입찰공고2025학년도,용역,35000000.0,2025.09.15,홍**,True
입찰공고(재공고)제2회 G-밸리 지산학 한마당 행사 용역2,입찰공고(재공고)제2회,용역,120000000.0,2025.09.15,홍**,True
유찰공고(유찰공고)제2회 G-밸리 지산학 한마당 행사 용역0,유찰공고(유찰공고)제2회,용역,,2025.09.15,홍**,False
유찰공고(유찰공고) 부트캠프사업 반도체전자공학과 실험실습기자재 구입(와이어본더 외 4종)0,유찰공고(유찰공고),납품/구입,,2025.09.08,홍**,False
유찰공고(유찰공고) 부트캠프사업 로봇자동화공학부 실험실습기자재 구입(에너지분산형 X-ray분광기)0,유찰공고(유찰공고),납품/구입,,2025.09.08,홍**,False
입찰공고제2회 G-밸리 지산학 한마당 행사 용역2,입찰공고제2회,용역,120000000.0,2025.09.01,홍**,True
입찰공고부트캠프사업 반도체전자공학과 실험실습기자재 구입(와이어본더 외 4종)2,입찰공고부트캠프사업,납품/구입,79000000.0,2025.08.25,홍**,True
입찰공고부트캠프사업 로봇자동화공학부 실험실습기자재 구입(에너지분산형 X-ray분광기)2,입찰공고부트캠프사업,납품/구입,60000000.0,2025.08.25,홍**,True
